,Title,Published_date,Views,Likes,Comments
85,Is Spotify Shuffle Really Random? #Shorts,2021-07-21,10862,598,50
86,I Eat a Papaya Live on Stream (Plus Q&A for 150K Subs!),2021-07-16,2432,93,30
87,Why are APIs Important for Data Science?,2021-07-09,10078,457,95
88,Is Your Phone REALLY Listening to You?,2021-07-03,5202,280,116
89,Kaggle vs Github - Which is Best for Your Data Science Portfolio?,2021-06-25,15799,615,121
90,#66DaysOfData - 3 Reasons to Start!,2021-06-18,4101,224,41
91,#66DaysOfData - What is it? #shorts,2021-06-11,9275,397,54
92,A Quick Data Science Project Tip! #SHORTS,2021-06-03,16712,1021,89
93,Discouraged with Data Science? - Watch THIS video.,2021-05-28,7481,394,195
94,How Data Science Projects Pay Off,2021-05-22,10818,602,146
95,How I Use Data to Optimize My Life | What I Collect & How I Analyze It,2021-05-14,10653,491,134
96,What is a lambda function (python)? #shorts,2021-05-13,15620,963,49
97,Why Kaggle Should Be Your Favorite Data Science Resource #shorts,2021-05-07,31499,1665,64
98,What is Pandas? (Data & Data Science) #shorts,2021-04-30,24112,1247,87
99,The 7 Biggest Data Science  Beginner Mistakes,2021-04-23,77353,3435,284
100,Data Scientist Reacts: REAL Data Science Job Application Data,2021-04-16,23537,695,85
101,Why You Probably Won't Become a Data Scientist,2021-04-09,138526,4040,481
102,How to Go From Data Analyst to Data Scientist,2021-04-02,54172,1544,178
103,Why I Have 2 Offices for Data Science & Content Creation,2021-03-26,3997,138,92
104,MARCH MADNESS - Will My Machine Learning Model Beat Your Bracket?,2021-03-19,18236,350,108
105,My Regrets as a Data Science Student,2021-03-12,23994,883,112
106,My Daily Battle With Time - Will I Win? [Vlog],2021-03-08,3841,196,83
107,What is the Future of my Comment Leaderboard Project?,2021-02-26,5583,201,81
108,How to Build a Website  - Building my ULTIMATE Portfolio Website,2021-02-19,6822,174,51
109,Why I Quit Data Science,2021-02-12,104940,2350,347
110,🌶 Hot Topics in Tech: Data Science Explained #SHORTS,2021-01-29,10735,558,116
111,How I Balance Data Science and Content Creation (7 Secrets),2021-01-23,7004,294,126
112,Kaggle Project From Scratch - Part 3 (Advanced Graphs & Gender Imbalance Analysis),2021-01-16,9875,305,52
113,Kaggle Project From Scratch - Part 2 (Exploratory Data Analysis),2021-01-08,22999,699,134
114,Kaggle Project From Scratch - Part 1 (Data Science Profession Survey),2021-01-02,38334,1146,147
115,What is the #66DaysOfData?,2020-12-26,70228,2332,202
116,How I Would Learn Data Science in 2021 (What Has Changed?),2020-12-19,131564,5965,488
117,Unboxing the Ultimate Z by HP Data Science Package (FIRST EVER HP Workstation w/ Data Science Stack),2020-12-10,11027,399,133
118,I Built the FIRST EVER YouTube Subscriber LEADERBOARD,2020-12-07,23591,727,324
119,7 Things to Look For in a Masters For Data Science (feat. @TinaHuang1),2020-11-20,28293,865,160
120,6 Lessons from #66DaysOfData,2020-11-13,6744,340,93
121,100K Channel Update + AMA Stream!,2020-11-12,2319,127,22
122,Find a Data Science Project With These 3 Techniques,2020-11-06,16884,732,106
