,Title,Published_date,Views,Likes,Comments
130,Sh*t Data Scientists Say (Parody),2020-10-05T15:00:08Z,9575,581,144
131,5 Proven Strategies to Break into a Data Science Job,2020-10-02T15:00:08Z,8630,366,93
132,Why Data-Viz is so Darn Important (@Story by Data | Kate Strachnyi) - KNN EP. 16,2020-09-30T15:00:09Z,7080,288,61
133,Data Science Resume Round-Up With @TinaHuang1  - Episode 1,2020-09-28T15:00:04Z,11792,293,69
134,5 Essential Data Science Projects for Your Portfolio,2020-09-26T15:00:06Z,73438,3115,206
135,His Startup Will Land You a Data Science Job (Jeremie Harris) - KNN EP. 15,2020-09-23T15:00:02Z,5192,198,64
136,Reviewing Your Data Science Projects - Episode 21(The Cleanest Portfolio),2020-09-21T15:00:03Z,12718,485,58
137,"Hedge Funds, Startups, and Data Science Oh my! (@DataLeap) - KNN EP. 14",2020-09-18T16:00:10Z,7484,254,34
138,Land a Data Science Job in a Different Country (Vijay Pravin Maharajan) - KNN EP. 13,2020-09-16T15:00:24Z,5114,196,56
139,Reviewing Your Data Science Projects - Episode 20 (Bootcamp Capstone),2020-09-14T15:00:00Z,4315,157,35
140,The 5 Pillars of Success I Live By,2020-09-11T15:00:11Z,10145,873,152
141,Fast Cars to Faster Data (Alex Castrounis) - KNN EP. 12,2020-09-09T15:00:12Z,1892,78,25
142,Reviewing Your Data Science Projects - Episode 19 (One Big Improvement),2020-09-07T15:00:30Z,4047,163,43
143,How I Learn Data Science Through Studying Other People's Code | #66DaysOfData,2020-09-04T15:00:00Z,11847,740,144
144,How She Dominated the FAANG Data Science Interview  (@TinaHuang1 ) - KNN EP. 11,2020-09-02T15:00:13Z,18010,573,89
145,Reviewing Your Data Science Projects - Episode 18 (Job-Worthy GitHub),2020-08-31T15:00:15Z,18097,795,93
146,Why I'm Starting Data Science Over Again.,2020-08-29T15:30:10Z,50774,2603,450
147,Inside the Mind of the Ultimate Kaggle Grandmaster (@Abhishek Thakur ) - KNN EP. 10,2020-08-26T15:00:03Z,15241,634,77
148,Reviewing Your Data Science Projects - Episode 17 (Best Portfolio Website Yet?),2020-08-24T15:00:31Z,13051,468,55
149,Don't Buy My Course..,2020-08-21T16:00:32Z,7344,360,146
150,How a Subscriber Landed a Data Analyst Job in Less Than a Year (Ray Ojel) - KNN EP. 09,2020-08-19T15:00:11Z,29128,1115,166
151,Reviewing Your Projects - Episode 16 (Project Review for Beginners),2020-08-17T15:00:07Z,3246,128,40
152,Data Scientist Dismantles the YouTube Algorithm.,2020-08-14T15:00:31Z,6333,538,108
153,Sports Analytics & Streaming Data Science on Twitch (Nick Wan) - KNN EP. 08,2020-08-12T15:30:26Z,5032,184,39
154,Reviewing Your Data Science Projects - Episode 15 (Quant Finance),2020-08-10T15:00:08Z,12668,399,53
155,The Plagiarism Problem in Data Science,2020-08-07T15:00:16Z,13085,628,145
156,Interview with the Director of AI Research @ NVIDIA (Anima Anandkumar) - KNN EP. 07,2020-08-05T15:00:09Z,14458,602,89
157,Reviewing Your Data Science Projects - Episode 14 [Deep Learning Focus],2020-08-03T15:00:08Z,4924,186,56
158,My First Data Science Contracting Side-Gig (How I Did It),2020-07-31T14:30:01Z,11464,582,90
159,Do You Have a Data Science Mentor? (@Danny Ma) - KNN EP. 06,2020-07-30T01:00:10Z,2325,116,34
160,Reviewing Your Data Science Projects - Episode 13 (BONUS LinkedIn Review),2020-07-27T15:00:30Z,5653,250,112
161,Building a Deep Learning BEAST (NVIDIA TITAN RTX + RYZEN 3900X),2020-07-24T15:00:11Z,8234,247,199
162,Is it Important to Share Your Data Science Work? (Ft. Eric Weber),2020-07-22T15:00:05Z,1860,98,27
163,Reviewing Your Data Science Resumes - Episode 12 (3 Different Resumes!),2020-07-20T15:00:08Z,29253,566,90
164,Beginner Kaggle Data Science Project Walk-Through (Titanic),2020-07-17T16:00:05Z,339651,7471,429
165,Uber Driver to Machine Learning Engineer in 9 Months! (@Daniel Bourke) - KNN EP. 05,2020-07-16T02:00:09Z,30357,1125,121
166,Reviewing Your Data Science Projects - Episode 11(GITHUB CLEANING),2020-07-13T16:00:01Z,3646,135,50
167,The Best Computer for Data Science Beginners,2020-07-10T16:00:09Z,38645,860,158
168,Should You Major in Data Science? (Jaemin Lee) - KNN EP. 04,2020-07-08T21:00:09Z,6170,231,82
169,Critiquing MY OWN Data Science Resume,2020-07-06T16:00:30Z,12695,398,88
170,Where to Start Learning Data Science,2020-07-03T16:00:04Z,18884,782,127
171,"Data Science Productivity, Motivation, and Organization (ft. Data Professor & Codebasics)",2020-07-01T15:00:12Z,4168,198,35
172,Reviewing Your Data Science Projects - Episode 10 (Leveraging Your Data),2020-06-29T15:00:08Z,4612,176,52
173,How to Get a Data Science Job at FAANG (@Data Science Jay) - KNN EP. 03,2020-06-26T15:00:10Z,16568,552,79
174,Reviewing Your Data Science Projects - Episode 9 (Professional Violinist),2020-06-22T13:00:03Z,2421,82,40
175,"Ken Jee Q & A Live Stream (50,000 Sub Special!)",2020-06-20T02:09:18Z,2386,139,49
176,Reviewing Your Data Science Projects - Episode 8 (College Student Help),2020-06-15T13:00:12Z,4387,168,46
177,Why You're Struggling to Learn Data Science,2020-06-12T13:00:17Z,15278,1009,159
178,Reviewing Your Data Science Projects - Episode 7 (Incredible Portfolio Website),2020-06-08T13:00:21Z,11919,360,70
179,The State of Data Science with Krish Naik & The Data Professor [Panel Discussion],2020-06-05T13:00:26Z,23999,687,146
180,Reviewing Your Data Science Projects - Episode 6 (Only 3 months of coding experience),2020-06-01T13:00:32Z,5713,154,53
181,How to Build a Data Science Portfolio Website with Hugo & Github Pages [feat. Data Professor],2020-05-29T13:00:21Z,73947,2213,271
182,Reviewing Your Data Science Projects - Episode 5 (Very Detailed Project),2020-05-25T13:00:13Z,20993,489,81
183,Different Data Science Roles Explained (by a Data Scientist),2020-05-22T13:01:09Z,55802,1984,178
184,Reviewing Your Data Science Projects - Episode 4 (Resume & Github),2020-05-18T13:00:22Z,11264,178,53
185,How to Make A Data Science Portfolio Website with Github Pages,2020-05-15T13:30:00Z,132636,4482,193
186,10000 Subscriber and 100th Video Special (Data Science),2020-05-13T13:00:17Z,3104,147,115
187,Reviewing Your Data Science Projects - Episode 3 (Student Portfolio),2020-05-11T13:00:33Z,4537,153,74
188,How I Would Learn Data Science (If I Had to Start Over),2020-05-08T13:00:03Z,1396259,48995,1989
189,Reviewing Your Data Science Projects - Episode 2 (Resume and Portfolio),2020-05-04T13:00:12Z,5569,196,42
190,What You Need to Know for a Data Science Internship,2020-05-01T13:00:10Z,22346,1214,60
191,Reviewing Your Data Science Projects - Episode 1 (Exploratory Analysis),2020-04-27T13:00:10Z,8376,349,54
192,What It's Like to be a Socially Distanced Data Scientist (A Day in the Life),2020-04-24T13:00:32Z,14987,457,103
193,Data Science in Sports - Talk for Northwestern (Kellogg) MBA Students,2020-04-22T13:00:30Z,3148,85,24
194,5 Tips for Crushing the Work From Home Life,2020-04-20T13:00:04Z,5433,203,38
195,Data Science Project from Scratch - Part 7 (Documenting Your Work),2020-04-17T13:00:04Z,21805,739,129
196,Data Science Project from Scratch -  Part 6 (Putting the Model into Production),2020-04-15T13:00:32Z,29834,733,98
197,Data Science Project from Scratch  - Part 5 (Model Building),2020-04-13T13:00:03Z,44710,909,155
198,Data Science Project from Scratch - Part 4 (Exploratory Data Analysis),2020-04-10T13:00:15Z,73141,1899,213
199,Data Science Project from Scratch - Part 3 (Data Cleaning),2020-04-08T13:00:19Z,81642,1769,277
200,Data Science Project from Scratch - Part 2 (Data Collection),2020-04-06T13:00:07Z,130093,3512,620
201,Data Science Project from Scratch - Part 1 (Project Planning),2020-04-03T13:00:12Z,200054,5071,175
202,When Data Science Goes Wrong,2020-03-30T13:00:06Z,1811,106,32
203,How to ULTRALEARN Data Science,2020-03-27T13:00:02Z,62002,3824,169
204,Why Right NOW is a Great Time to Learn Data Science,2020-03-23T13:00:30Z,4447,268,50
205,Data Science Project Example Start to Finish (Deep Learning Image Classifier),2020-03-20T13:00:22Z,13184,469,45
206,The Secret Data Scientists Don't Want You to Know,2020-03-16T13:00:23Z,10789,1139,103
207,The 5 Stages of Learning Data Science,2020-03-13T13:00:26Z,17560,1296,78
208,Can You Learn Data Science Without a Computer?,2020-03-11T13:00:03Z,1755,119,14
209,The Best Free Data Science Courses Nobody is Talking About,2020-03-09T13:00:04Z,347543,21218,620
210,The Data Science Projects that Got Me a Job,2020-03-06T14:00:11Z,41110,1401,41
211,How to Integrate Data Science into Your Business,2020-03-02T14:00:01Z,3385,129,18
212,The Problem with Data Science,2020-02-28T14:00:07Z,3798,154,19
213,How Much Did Cheating Help the Astros Win? (What the Numbers Say),2020-02-24T14:00:00Z,1182,46,16
214,How to Set Up Your Data Science Environment (Anaconda Beginner),2020-02-21T14:00:02Z,131022,2498,97
215,3 Proven Data Science Projects for Beginners (Kaggle),2020-02-17T14:00:04Z,329319,17852,527
216,Data Science Advice for College Students,2020-02-14T17:22:37Z,68984,1963,197
217,Avoid These Data Science Resume Mistakes!,2020-02-10T15:52:59Z,28549,1248,62
218,Data Science Explained with ... Cooking?,2020-02-07T15:56:55Z,5350,315,48
219,The 4 Types of Sports Analytics Projects,2020-02-03T16:35:19Z,31811,1040,62
220,Data Science in Golf: PGA Merchandise Show 2020,2020-01-31T18:50:23Z,590,18,13
221,How I Learned Data Science,2020-01-27T14:41:18Z,94182,2695,210
222,What is Sports Analytics Really?,2020-01-20T14:00:00Z,21564,619,73
223,Data Science Certificate vs Bootcamp vs Masters Degree,2020-01-18T01:03:08Z,111637,3141,575
224,How To Learn Programming for Data Science [3 Steps],2020-01-13T16:48:44Z,30135,1982,96
225,Data Science Fundamentals: SQL Queries,2020-01-10T19:15:01Z,6615,216,35
226,Questions You Should Ask Your Data Science Interviewers,2020-01-06T14:00:04Z,3157,152,14
227,The 9 Books That Changed My Perspective in 2019,2020-01-03T14:45:28Z,3396,180,25
228,The Data Science Interview: What to Expect,2019-12-30T14:00:01Z,8640,381,32
229,5 Data Science Resolutions for 2020,2019-12-27T14:00:07Z,475,25,12
230,How to Scrape NBA Data Using the nba_api Python Module,2019-12-23T12:59:47Z,17159,604,93
231,Collision Course: Sports Betting + Data Science,2019-12-20T14:00:02Z,18629,509,27
232,3 Reasons You Should NOT Become a Data Scientist,2019-12-16T18:46:58Z,100980,2931,204
233,5 Sports Analytics Books to Get You Started,2019-12-13T14:00:01Z,11085,418,59
234,Math Needed for Mastering Data Science,2019-12-09T14:00:15Z,57539,2899,222
235,The 5 Stages of Data Science Adoption,2019-12-06T14:00:04Z,1332,69,17
236,How YOU Can Land a Sports Analytics Job,2019-12-02T14:00:05Z,70394,3106,231
237,Data Science Fundamentals: Linear Regression,2019-11-29T14:00:02Z,6415,172,42
238,Golf: Would You Rather Be the LONGEST or STRAIGHTEST Driver on the PGA Tour?,2019-11-25T14:00:11Z,1129,54,12
239,Sports Analytics 101: The Pythagorean Theorem of Sports,2019-11-22T14:00:06Z,6266,274,26
240,9 Ways You Can Make Extra Income as a Data Scientist,2019-11-18T15:34:12Z,46356,1762,80
241,Applying Data Science To My YouTube Data: My Surprising Findings,2019-11-11T21:12:11Z,5959,137,31
242,Why Selling Is An Important Data Science Skill,2019-11-04T14:57:00Z,1637,81,13
243,By The Numbers: Where Should The NBA Put a 4 Point Line?,2019-10-21T16:38:58Z,2879,73,18
244,Why is Balance Important in Data Science?,2019-10-16T17:40:34Z,708,32,13
245,How to Stay Productive & Motivated When Learning Data Science,2019-09-29T00:29:59Z,11963,585,54
246,How Far Should the NBA 3-Point Line Actually Be?,2019-09-21T23:04:57Z,3945,116,34
247,6 Habits of Successful Data Scientists,2019-09-13T04:40:51Z,2242,95,17
248,How To Build A Word Cloud From Scraped Data (Python),2019-09-04T01:32:06Z,4761,106,9
249,Thank You For The Support | What's Next | Ken Jee | Data Science,2019-08-26T12:42:32Z,522,24,29
250,Is Data Science Right For You?,2019-08-18T16:54:05Z,51408,1183,109
251,Data Science Fundamentals: Data Cleaning in Python,2019-08-11T20:50:23Z,15003,393,55
252,How To Get Data Science Experience (Without a Job),2019-08-08T01:58:40Z,29652,1389,74
253,Take Your Data Science Projects From Good to Great,2019-08-05T02:34:28Z,1627,108,11
254,The Projects You Should Do To Get A Data Science Job,2019-07-30T03:35:48Z,151787,5725,255
255,What Does a Data Scientist Actually Do?,2019-07-19T03:18:04Z,46889,1283,81
256,Data Science Fundamentals: Data Manipulation in Python (Pandas),2019-07-13T21:09:41Z,13074,353,43
257,Data Science Fundamentals: Data Exploration in Python (Pandas),2019-07-05T14:29:49Z,18069,532,61
258,Data Science: Pros and Cons,2019-06-30T15:26:49Z,5360,221,18
259,How I Got My First Data Science Internship (And How You Can Land One),2019-06-21T04:33:34Z,25247,1213,89
260,My Top 5 Data Science Internship Tips,2019-06-15T15:28:26Z,11992,498,23
261,Golf STATS: Strokes Gained Explained,2019-06-07T03:10:34Z,7618,159,30
262,Most Data Science Hopefuls Overlook This Important Skill,2019-05-25T18:34:33Z,619,45,5
263,What I Learned From My Three Degrees,2019-05-17T03:10:29Z,1273,61,12
264,I Wish I Had Known THIS Before Starting in Data Science,2019-05-14T00:21:28Z,25681,1071,66
265,NASA Physicist Turned Data Scientist (Tim Bowling) - KNN EP. 02,2019-05-05T20:26:36Z,1256,40,2
266,Should You Learn R for Data Science?,2019-04-25T15:00:01Z,21431,570,71
267,Scrape Twitter Data in Python with Twitterscraper Module,2019-04-18T15:00:14Z,46506,856,331
268,Work From Home Data Scientist: Day in the Life,2019-04-12T15:00:00Z,28134,759,101
269,Where to Look for Data Science Jobs,2019-03-29T16:00:01Z,3018,120,9
270,Data Science: Startup vs. Large Corporation,2019-03-21T17:00:01Z,2211,76,4
271,"Data Science, Machine Learning, and AI: What's the Difference?",2019-03-16T14:00:04Z,6200,175,26
272,Was Captain Marvel Bad? A Sentiment Analysis of Twitter Data,2019-03-09T21:58:10Z,4229,180,15
273,Why You DON'T Want to be a WFH Data Scientist,2019-03-03T22:14:01Z,814,33,12
274,Welcome To My Channel | Ken Jee | Data Science,2019-03-03T01:00:17Z,1446,36,8
275,Where YOU Should Start With Data Science Projects,2019-02-19T03:23:50Z,17326,353,17
276,Watch This Before Applying to Data Science Jobs,2019-02-04T23:40:34Z,1504,65,13
277,My Top 5 Data Science Resources for 2019,2019-01-05T22:07:08Z,3716,122,17
278,IT'S NOT TOO LATE TO LEARN CODE!,2018-12-18T02:01:15Z,839,35,6
279,The Best Way to Predict NBA Minutes Played,2018-12-11T02:39:35Z,4532,110,14
280,Demystifying Data Science Roles,2018-11-30T01:22:49Z,1142,53,5
281,How to Simulate NBA Games in Python,2018-11-19T23:31:49Z,17969,397,54
282,Should You Get A Masters in Data Science?,2018-11-14T01:39:33Z,20634,304,135
283,How I Became A Data Scientist From a Business Background,2018-11-12T00:26:08Z,6491,198,23
284,Predicting Season Long NBA Wins Using Multiple Linear Regression,2018-07-10T16:39:52Z,8874,193,17
285,Predicting Crypto-Currency Price Using RNN lSTM & GRU,2017-11-18T20:04:51Z,19075,295,41
